
Filename                LineNumber Line                                                                                        
--------                ---------- ----                                                                                        
auth.ts                          1 import { NextAuthOptions, getServerSession } from "next-auth";                              
auth.ts                          2 import CredentialsProvider from "next-auth/providers/credentials";                          
auth.ts                          3 import GithubProvider from "next-auth/providers/github";                                    
auth.ts                          4 import GoogleProvider from "next-auth/providers/google";                                    
auth.ts                          5 import { compare } from "bcryptjs";                                                         
auth.ts                          6 import { User } from "@/models/userModel";                                                  
auth.ts                          7 import { connectToDb } from "@/lib/db";                                                     
cloudinary.ts                    1 import { v2 as cloudinary, type UploadApiResponse } from "cloudinary";                      
db.ts                            1 import mongoose from "mongoose";                                                            
entitlement.ts                   1 import { Subscription, TIER_FEATURES, TIER_QUOTAS, type Tier } from "@/models/Subscription";
entitlement.ts                   2 import { connectToDb } from "@/lib/db";                                                     
schemas.ts                       1 import { z } from "zod";                                                                    
utils.ts                         1 import { clsx, type ClassValue } from "clsx"                                                
utils.ts                         2 import { twMerge } from "tailwind-merge"                                                    
AvatarSession.ts                 1 import mongoose, { Schema, Types, Document } from "mongoose";                               
ChatModel.ts                     3 import { Schema, models, model } from 'mongoose';                                           
Conversation.ts                  1 import mongoose, { Schema, Types, Document } from "mongoose";                               
EmotionEvent.ts                  1 import mongoose, { Schema, Types, Document } from "mongoose";                               
MediaJob.ts                      1 import mongoose, { Schema, Types, Document } from "mongoose";                               
ModerationEvent.ts               1 import mongoose, { Schema, Types, Document } from "mongoose";                               
ProviderUsageLog.ts              1 import mongoose, { Schema, Types, Document } from "mongoose";                               
ProviderUsageLog.ts              2 import { ProviderName, TaskType } from "@/services/providers/registry";                     
Subscription.ts                  1 import mongoose, { Schema, Types, Document } from "mongoose";                               
userModel.ts                     1 import mongoose, { Schema, Types, Document } from "mongoose";                               
UserPreferences.ts               1 import mongoose, { Schema, Types, Document } from "mongoose";                               
VoiceMetric.ts                   1 import mongoose, { Schema, Types, Document } from "mongoose";                               
VoiceSession.ts                  1 import mongoose, { Schema, Types, Document } from "mongoose";                               
geminiWebSockets.ts              1 import { TranscriptionService } from './transcriptionService';                              
geminiWebSockets.ts              2 import { pcmToWav } from '@/utils/audioUtils';                                              
hooks.ts                         1 import { useDispatch, useSelector } from "react-redux";                                     
hooks.ts                         2 import type { TypedUseSelectorHook } from "react-redux";                                    
hooks.ts                         3 import type { RootState, AppDispatch } from "./index";                                      
index.ts                         1 import { configureStore } from "@reduxjs/toolkit";                                          
index.ts                         2 import chatReducer from "./slices/chatSlice";                                               
index.ts                         3 import premiumReducer from "./slices/premiumSlice";                                         
index.ts                         4 import personaReducer from "./slices/personaSlice";                                         
index.ts                         5 import localeReducer from "./slices/localeSlice";                                           
index.ts                         6 import voiceReducer from "./slices/voiceSlice";                                             
ClientHomepage.tsx               3 import { useState, useEffect } from "react";                                                
ClientHomepage.tsx               4 import Calltoactions from "@/sections/CallToAction";                                        
ClientHomepage.tsx               5 import Companies from "@/sections/Companies";                                               
ClientHomepage.tsx               6 import Features from "@/sections/Features";                                                 
ClientHomepage.tsx               7 import Footer from "@/sections/Footer";                                                     
ClientHomepage.tsx               8 import Header from "@/sections/Header";                                                     
ClientHomepage.tsx               9 import Hero from "@/sections/Hero";                                                         
ClientHomepage.tsx              10 import Pricing from "@/sections/Pricing";                                                   
ClientHomepage.tsx              11 import Testimonials from "@/sections/Testimonials";                                         
ClientHomepage.tsx              12 import Popup from "@/components/popup";                                                     
ClientHomepage.tsx              13 import { Loader } from "@/components/Loader"                                                
ClientHomepage.tsx              14 import { useSession } from "@/context/SessionContext";                                      
layout.tsx                       1 import type { Metadata } from "next";                                                       
layout.tsx                       2 import { Sora, Space_Grotesk, Geist, Instrument_Serif } from "next/font/google";            
layout.tsx                       4 import { Toaster } from "@/components/ui/sonner";                                           
layout.tsx                       5 import { SessionProvider } from "@/context/SessionContext";                                 
layout.tsx                       6 import { Analytics } from '@vercel/analytics/next';                                         
layout.tsx                       7 import { StoreProvider } from "@/components/providers/StoreProvider";                       
layout.tsx                       8 import MainShell from "@/components/shell/MainShell";                                       
